hough_no_lines,hough_line_sd,hough_sd,hough_kurtosis,hough_max_z
31,1.01532872162,74.3050059507,0.2183391116018365,3.18912564461
1,0.0,12.0037891182,13.706399768913208,8.87958015133
1,0.0,37.716211764,21.398254427052663,9.87203490014
13,0.846293549645,71.2807316294,2.0929251279126273,3.89929880686
28,1.17937581749,110.47628255,-0.0943705157410033,3.38722312421
24,0.837862607419,100.067447773,-0.8256400293074524,2.51876781388
29,0.765568059195,79.2639754611,0.8610274475869737,3.63885720825
2,0.0702031877897,17.9215114111,15.796181120889134,8.8388160648
1,0.0,12.6393270217,81.57401274324354,25.4918980399
1,0.0,20.2201939722,61.78738406848562,17.2600267734
21,0.650323727638,68.8597429101,0.1645943125965026,3.18676763412
6,1.12218404321,44.6217553824,12.134035137705622,7.8449422385
9,1.39384821436,71.1359743784,4.139361263558775,5.35894537519
25,0.718220127903,93.7364695045,0.8595699510036772,3.81690014755
6,1.3353095179,22.9896925188,18.3596704465965,9.19512080584
23,0.626266360025,71.7885599547,1.9920087004834457,4.00806892511
14,1.01488551649,76.9693081682,3.9488916282545556,4.69905483897
13,1.13289531751,42.4811295157,4.235656743739932,6.552915487
22,0.727158255391,50.0348055714,2.3902227155561677,4.00394411069
1,0.0,14.6929930039,92.39499647391403,21.4723157264
1,0.0,28.9936896215,21.51858514164321,10.323747454
31,1.02711517729,54.9794876406,3.0748862118924967,4.8551016289
2,0.0351015938949,17.2631455647,53.75370871938347,14.6912282745
7,0.300264273082,24.6148317316,11.112449562118751,8.21283789153
19,1.1786651629,62.4298575827,1.224404780418153,3.60088574485
12,1.05666045619,82.071653538,2.0773439680095986,4.6239144861
26,1.20250302113,109.062979049,0.6322317626248366,3.29075001554
19,1.05682669323,95.0147817529,0.8036726770404692,3.60788072841
9,1.25986285364,77.6348837719,4.063286582622296,4.79700287836
2,1.5356947329,15.0283200671,90.5767341982064,20.7876008942
2,0.0,20.026097454,40.250227172494974,14.9064618861
21,1.12338966628,89.0398622224,1.6323500704071616,4.0512955012
13,0.744700472363,72.7400753484,1.287891870335642,3.64960165215
